Customer ID,Gender,GivenName,Surname,Age,City,State,StateFull,CountryFull,Segment,Policy Number
109,Female,Ava,Case,80,GILMORE,ACT,Australian Capital Territory,Australia,Platinum,67885239
368,Male,Austin,Macleay,56,SCULLIN,ACT,Australian Capital Territory,Australia,Gold,96431710
379,Male,Hayden,Devaney,41,SCULLIN,ACT,Australian Capital Territory,Australia,Silver,64395359
1005,Male,Blake,Phillip,81,CHISHOLM,ACT,Australian Capital Territory,Australia,Platinum,86977672
1231,Male,Hamish,Rawson,27,BARTON,ACT,Australian Capital Territory,Australia,Silver,35937396
1255,Female,Dakota,Creal,37,BARTON,ACT,Australian Capital Territory,Australia,Silver,72701596
1485,Male,Nathan,Allnutt,68,NGUNNAWAL,ACT,Australian Capital Territory,Australia,Silver,14696486
1753,Female,Bella,Dickens,73,FLYNN,ACT,Australian Capital Territory,Australia,Platinum,29235942
1918,Female,Sofia,Eva,45,WANNIASSA,ACT,Australian Capital Territory,Australia,Platinum,71585796
2047,Female,Audrey,Stuckey,31,STIRLING,ACT,Australian Capital Territory,Australia,Silver,24053079
2078,Female,Katie,Gerard,47,SPENCE,ACT,Australian Capital Territory,Australia,Silver,9113960
2432,Female,Sophia,Hotham,54,CHARNWOOD,ACT,Australian Capital Territory,Australia,Silver,51782790
2487,Female,Summer,Gibson,76,CAUSEWAY,ACT,Australian Capital Territory,Australia,Gold,79637526
2630,Male,Christian,Lake,72,O'CONNOR,ACT,Australian Capital Territory,Australia,Gold,76185937
2865,Male,Tyson,Downing,83,LATHAM,ACT,Australian Capital Territory,Australia,Platinum,23460954
3294,Female,Chloe,Strempel,70,CONDER,ACT,Australian Capital Territory,Australia,Gold,60226103
3337,Male,Will,Younger,83,DUNTROON,ACT,Australian Capital Territory,Australia,Platinum,91462488
3404,Female,Mackenzie,Edwin,45,BONNER,ACT,Australian Capital Territory,Australia,Silver,65950748
3628,Male,Dylan,Lindon,42,FRANKLIN,ACT,Australian Capital Territory,Australia,Gold,92971352
3689,Female,Alexandra,Vernon,83,CALWELL,ACT,Australian Capital Territory,Australia,Platinum,4798178
3785,Female,Angelina,Merrett,35,LYONS,ACT,Australian Capital Territory,Australia,Gold,36871199
3857,Female,Tahlia,Dash,72,HUGHES,ACT,Australian Capital Territory,Australia,Platinum,95560326
3985,Male,Charles,Donohoe,51,AMAROO,ACT,Australian Capital Territory,Australia,Silver,15965598
4132,Female,Ellie,Bower,25,HAWKER,ACT,Australian Capital Territory,Australia,Silver,54699505
4169,Female,Paige,Petherick,66,FORREST,ACT,Australian Capital Territory,Australia,Silver,15323824
4258,Female,Elizabeth,Manifold,55,LYONS,ACT,Australian Capital Territory,Australia,Silver,79391459
4411,Male,Joshua,Barber,60,TURNER,ACT,Australian Capital Territory,Australia,Gold,51937037
4798,Male,Callum,Schlunke,73,GARRAN,ACT,Australian Capital Territory,Australia,Platinum,98341823
4820,Male,Charlie,Du Cane,71,TOP NAAS,ACT,Australian Capital Territory,Australia,Platinum,13276065
4856,Female,Brooke,Tarczynski,73,WESTON CREEK,ACT,Australian Capital Territory,Australia,Platinum,27869112
4910,Male,Tristan,McCubbin,56,FYSHWICK,ACT,Australian Capital Territory,Australia,Gold,27304663
4947,Male,Noah,Farnell,55,RUSSELL,ACT,Australian Capital Territory,Australia,Silver,9775312
5089,Female,Dakota,Duggan,49,FRASER,ACT,Australian Capital Territory,Australia,Gold,42098536
5479,Female,Abby,Royston,50,HUGHES,ACT,Australian Capital Territory,Australia,Platinum,42333277
5703,Female,Kiara,Gaffney,68,HAWKER,ACT,Australian Capital Territory,Australia,Silver,43274522
5704,Female,Isla,Komine,70,CURTIN,ACT,Australian Capital Territory,Australia,Silver,23236959
5802,Female,Isabella,Sherlock,29,CHISHOLM,ACT,Australian Capital Territory,Australia,Platinum,63544471
5826,Male,Dominic,Burhop,78,CONDER,ACT,Australian Capital Territory,Australia,Gold,25166283
5902,Male,Justin,Grayson,55,SYMONSTON,ACT,Australian Capital Territory,Australia,Platinum,39444849
5935,Male,George,Shoobridge,62,PARKES,ACT,Australian Capital Territory,Australia,Gold,96931299
6247,Male,Aiden,Elizabeth,67,BARTON,ACT,Australian Capital Territory,Australia,Silver,12378172
6352,Male,Hamish,Bussell,26,WESTON,ACT,Australian Capital Territory,Australia,Platinum,29903458
6422,Female,Madeline,Glossop,41,GIRALANG,ACT,Australian Capital Territory,Australia,Platinum,73686228
6498,Male,Lincoln,Finch,22,URIARRA,ACT,Australian Capital Territory,Australia,Silver,51670221
6611,Male,Jacob,Jukes,49,OAKS ESTATE,ACT,Australian Capital Territory,Australia,Platinum,47086267
6738,Female,Claire,Fegan,39,FORDE,ACT,Australian Capital Territory,Australia,Gold,77219972
6908,Male,Aaron,Marx,68,MELBA,ACT,Australian Capital Territory,Australia,Gold,38048177
6911,Male,Ethan,Andrade,67,HOLT,ACT,Australian Capital Territory,Australia,Gold,25166297
7165,Male,Hayden,Amadio,33,OXLEY,ACT,Australian Capital Territory,Australia,Gold,89279997
7266,Female,Lauren,Leggo,53,FYSHWICK,ACT,Australian Capital Territory,Australia,Gold,42882545
7271,Male,Flynn,Herlitz,32,CAMPBELL,ACT,Australian Capital Territory,Australia,Platinum,51525596
7372,Male,Isaac,Cato,34,MELBA,ACT,Australian Capital Territory,Australia,Gold,66354206
7409,Male,Benjamin,Morell,48,FORREST,ACT,Australian Capital Territory,Australia,Gold,78341488
7511,Male,Hayden,Onslow,74,MITCHELL,ACT,Australian Capital Territory,Australia,Platinum,885597
7591,Male,Jett,Hanlon,48,THARWA,ACT,Australian Capital Territory,Australia,Platinum,79540133
7706,Male,Henry,Rubensohn,52,DEAKIN WEST,ACT,Australian Capital Territory,Australia,Silver,94633420
7714,Male,David,Whitehead,60,FORREST,ACT,Australian Capital Territory,Australia,Gold,46620742
7727,Female,Alice,Carron,30,DOWNER,ACT,Australian Capital Territory,Australia,Silver,23093119
8040,Male,Zachary,Pottinger,71,NICHOLLS,ACT,Australian Capital Territory,Australia,Silver,59793355
8115,Female,Madeleine,Ord,62,STIRLING,ACT,Australian Capital Territory,Australia,Silver,55836371
8213,Female,Layla,Hoffnung,55,CITY,ACT,Australian Capital Territory,Australia,Platinum,49058820
8257,Male,Alexander,Bochsa,37,SWINGER HILL,ACT,Australian Capital Territory,Australia,Silver,33152761
8366,Male,Rory,Hayden,58,CAPITAL HILL,ACT,Australian Capital Territory,Australia,Gold,8765539
8427,Male,Jacob,Shakespeare,68,GUNGAHLIN,ACT,Australian Capital Territory,Australia,Gold,83500172
8568,Male,Dominic,Norrie,47,TOP NAAS,ACT,Australian Capital Territory,Australia,Platinum,62528854
8841,Male,Beau,Bolliger,20,HARMAN,ACT,Australian Capital Territory,Australia,Gold,87387146
8890,Female,Keira,Cann,21,MCKELLAR,ACT,Australian Capital Territory,Australia,Silver,32850676
8985,Male,Darcy,Whitford,79,EVATT,ACT,Australian Capital Territory,Australia,Platinum,91137254
9124,Female,Mackenzie,Seddon,74,CONDER,ACT,Australian Capital Territory,Australia,Silver,64489018
9365,Male,Joshua,Farrell,22,MOUNT STROMLO,ACT,Australian Capital Territory,Australia,Gold,71497199
9555,Male,Rory,Rosa,79,HUME,ACT,Australian Capital Territory,Australia,Platinum,77116901
9581,Female,Eden,McCaughey,83,GARRAN,ACT,Australian Capital Territory,Australia,Silver,80906289
9766,Male,Jackson,Pulleine,53,WEETANGERA,ACT,Australian Capital Territory,Australia,Gold,21869016
9887,Male,Julian,Armit,26,HOLDER,ACT,Australian Capital Territory,Australia,Silver,61498256
9960,Female,Savannah,Lillie,45,KINGSTON,ACT,Australian Capital Territory,Australia,Gold,57960156
9985,Female,Victoria,Boreham,48,LAWSON,ACT,Australian Capital Territory,Australia,Gold,51460940
3,Male,Hayden,Wiseman,43,EROWAL BAY,NSW,New South Wales,Australia,Silver,30308357
4,Female,Jade,Cascarret,68,LAKE HIAWATHA,NSW,New South Wales,Australia,Silver,47830476
